ID	Model	Organism	Taxonomy	Author	Year	Publication	HasFile	Valid?	Erro
79	yeast 6.06	Yeast	Eukaryota; Opisthokonta; Fungi;	consensus team	2013	http://dx.doi.org/10.1089/ind.2013.0013	true	true	
80	yeast 7.00	Yeast	Eukaryota; Opisthokonta; Fungi;	consensus team	2013	http://dx.doi.org/	true	true	
118	iOD907	Kluyveromyces lactis NRRL Y-1140	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Kluyveromyces; Kluyveromyces lactis	Oscar Dias	2013	http://dx.doi.org/	true	true	
94	PpaMBEL1254	Pichia pastoris CBS 7435	Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; Komagataella; Komagataella pastoris	Sohn	2010	http://dx.doi.org/10.1002/biot.201000078	true	false	
34	PpuMBEL1071	Pseudomonas putida str. KT2440	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas	Sohn	2010	http://dx.doi.org/10.1002/biot.201000124	true	true	
101	iMG746	Methanosarcina barkeri	Archaea; Euryarchaeota; Methanomicrobia; Methanosarcinales; Methanosarcinaceae	Gonnerman	2013	http://dx.doi.org/10.1002/biot.201200266	true	false	
70	iMH551	Staphylococcus aureus	 Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae	Heinemann	2005	http://dx.doi.org/10.1002/bit.20663	true	false	
56	iTK425	Mannheimia succiniciproducens MBEL55E	Bacteria; Proteobacteria; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Basfia; Mannheimia succiniciproducens	Kim	2007	http://dx.doi.org/10.1002/bit.21433	true	false	
41	iRS474	Clostridium acetobutylicum ATCC 824	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium acetobutylicum	Senger	2008	http://dx.doi.org/10.1002/bit.22010	true	false	
43	iKK411	Corynebacterium glutamicum ATCC 13032	Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium; Corynebacterium glutamicum	Kjeldsen	2009	http://dx.doi.org/10.1002/bit.22067	true	false	
92	1475S1	Corynebacterium glutamicum ATCC 13032	Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Corynebacterineae; Corynebacteriaceae; Corynebacterium; Corynebacterium glutamicum	Kjeldsen	2009	http://dx.doi.org/10.1002/bit.22067	true	false	
63	iZM363	Zymomonas mobilis subsp. mobilis ZM4	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae; Zymomonas	Widiastuti	2011	http://dx.doi.org/10.1002/bit.22965	true	false	
111	iVW583	Amycolatopsis balhimycina	Bacteria; Actinobacteria; Actinobacteria; Actinobacteridae; Actinomycetales; Pseudonocardineae; Pseudonocardiaceae; Amycolatopsis	Vongsangnak	2011	http://dx.doi.org/10.1002/bit.24436	true	false	
99	iNV213	Cryptosporidium hominis TU502	Eukaryota; Alveolata; Apicomplexa; Conoidasida; Coccidia; Eucoccidiorida; Eimeriorina; Cryptosporidiidae; Cryptosporidium; Cryptosporidium hominis	Vanee	2010	http://dx.doi.org/10.1002/cbdv.200900323	false	false	
75	iPF633	Synechocystis sp. PCC 6803	Bacteria; Cyanobacteria; Oscillatoriophycideae; Chroococcales; Synechocystis	Fu	2008	http://dx.doi.org/10.1002/jctb.2065	false	false	
