Table 2.
        Metabolic features of the amino acids in iWZ663.
Amino acida,Reaction numberb,TCA cyclec,Purine biosynthesisd
l-Isoleucine,3,−,−
l-Valine,3,−,−
l-Arginine,3,−,−
l-Lysine,3,−,−
l-Asparagine,4,+,−
l-Tryptophan,4,−,−
l-Histidine,4,−,−
l-Threonine,5,+,+
l-Leucine,5,−,−
l-Tyrosine,5,−,−
l-Phenylalanine,5,−,−
l-Cysteine,8,−,−
l-Proline,8,+,−
l-Methionine,10,−,−
l-Serine,11,+,+
l-Alanine,13,+,−
l-Aspartic acid,13,+,+
l-Glutamine,15,+,−
Glycine,24,+,+
l-Glutamic acid,40,+,+
