abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes			
THD2pp	NAD(P) transhydrogenase (periplasm)	(2) h[p] + nadh[c] + nadp[c] --> (2) h[c] + nad[c] + nadph[c]	( b1602  and  b1603 )	1.6.1.1	(1.6.1.2-RXN PYRNUTRANSHYDROGEN-RXN)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
CYTBDpp	cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm)	(2) h[c] + (0.5) o2[c] + q8h2[c] --> (2) h[p] + h2o[c] + q8[c]	( ( b0978  and  b0979 )  or  ( b0733  and  b0734 ) )		(CYT-UBIQUINOL-OXID-RXN)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
CYTBO3_4pp	cytochrome oxidase bo3 (ubiquinol-8: 4 protons) (periplasm)	(4) h[c] + (0.5) o2[c] + q8h2[c] --> (4) h[p] + h2o[c] + q8[c]	( b0429  and  b0430  and  b0431  and  b0432 )		(CYT-UBIQUINOL-OXID-RXN)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
NADH16pp	NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm)	(4) h[c] + nadh[c] + q8[c] --> (3) h[p] + nad[c] + q8h2[c]	( b2276  and  b2277  and  b2278  and  b2279  and  b2280  and  b2281  and  b2282  and  b2283  and  b2284  and  b2285  and  b2286  and  b2287  and  b2288 )	1.6.5.3	(NADH-DEHYDROG-A-RXN)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
CBL1tonex	Cob(1)alamin transport via ton system (extermal)	cbl1[e] + h[p] --> cbl1[p] + h[c]	( b3966  and  ( b1252  and  b3005  and  b3006 ) )		(RXN0-1565)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
FEENTERtonex	Fe-enterobactin transport via ton system (extracellular)	feenter[e] + h[p] --> feenter[p] + h[c]	( b0584  and  ( b1252  and  b3005  and  b3006 ) )		(RXN0-1682)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
FE3DCITtonex	ferric-dicitrate transport via ton system (extracellular)	fe3dcit[e] + h[p] --> fe3dcit[p] + h[c]	( b4291  and  ( b1252  and  b3005  and  b3006 ) )		(RXN0-1684)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
FE3HOXtonex	Fe(III)hydroxamine transport via ton system (extracellular)	fe3hox[e] + h[p] --> fe3hox[p] + h[c]	( b0150  and  ( b1252  and  b3005  and  b3006 ) )		(RXN0-1701)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
CPGNtonex	Coprogen transport via ton system (extracellular)	cpgn[e] + h[p] --> cpgn[p] + h[c]	( b1102  and  ( b1252  and  b3005  and  b3006 ) )		(RXN0-1702)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
FE3DHBZStonex	"ferric 2,3-dihydroxybenzoylserine transport via ton system (extracellular)"	fe3dhbzs[e] + h[p] --> fe3dhbzs[p] + h[c]	( ( b0805  and  ( b1252  and  b3005  and  b3006 ) )  or  ( b2155  and  ( b1252  and  b3005  and  b3006 ) ) )		(RXN0-1721)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
ACt2rpp	acetate reversible transport via proton symport (periplasm)	ac[p] + h[p] <==> ac[c] + h[c]			(RXN0-1981)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
NO3R2pp	Nitrate reductase (Menaquinol-8) (periplasm)	(2) h[c] + mql8[c] + no3[c] --> (2) h[p] + h2o[c] + mqn8[c] + no2[c]	( ( b1465  and  b1466  and  b1467  and  b1468 )  or  ( b1224  and  b1225  and  b1226  and  b1227 ) )		(RXN0-3501)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
FORt2pp	"formate transport via proton symport (uptake only, periplasm)"	for[p] + h[p] --> for[c] + h[c]	( b0904  or  b2492 )		(TRANS-RXN-1)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
MG2t3_2pp	magnesium (Mg+2) transport in/out via proton antiport (periplasm)	(2) h[c] + mg2[p] <==> (2) h[p] + mg2[c]			(TRANS-RXN-141)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
COBALT2t3pp	cobalt (Co+2) transport out via proton antiport (periplasm)	cobalt2[c] + h[p] --> cobalt2[p] + h[c]	( b3915  or  b0752 )		(TRANS-RXN-141A)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
NI2t3pp	nickle (Ni+2) transport out via proton antiport (periplasm)	h[p] + ni2[c] --> h[c] + ni2[p]	( b3915  or  b0752 )		(TRANS-RXN-141B)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
FE2t3pp	iron (Fe+2) transport out via proton antiport (periplasm)	fe2[c] + h[p] --> fe2[p] + h[c]	b3915		(TRANS-RXN-8)	((LEFT REMOVE PROTON) (RIGHT REMOVE PROTON))				
DADA	Deoxyadenosine deaminase	[c] : dad-2 + h + h2o --> din + nh4	b1623		(ADDALT-RXN)	((LEFT REMOVE PROTON) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
ADD	adenine deaminase	[c] : ade + h + h2o --> hxan + nh4	b3665	3.5.4.2	(ADENINE-DEAMINASE-RXN)	((LEFT REMOVE PROTON) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
ADA	Adenosine deaminase	[c] : adn + h + h2o --> ins + nh4	b1623	3.5.4.4	(ADENODEAMIN-RXN)	((LEFT REMOVE PROTON) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
CSND	Cytosine deaminase	[c] : csn + h + h2o --> nh4 + ura	b0337	3.5.4.1	(CYTDEAM-RXN)	((LEFT REMOVE PROTON) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
CYTD	cytidine deaminase	[c] : cytd + h + h2o --> nh4 + uri	b2143	3.5.4.5	(CYTIDEAM2-RXN)	((LEFT REMOVE PROTON) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
DCYTD	deoxycytidine deaminase	[c] : dcyt + h + h2o --> duri + nh4	b2143	3.5.4.14	(CYTIDEAM-RXN)	((LEFT REMOVE PROTON) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
DCTPD	dCTP deaminase	[c] : dctp + h + h2o --> dutp + nh4	b2065	3.5.4.13	(DCTP-DEAM-RXN)	((LEFT REMOVE PROTON) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
GMPR	GMP reductase	[c] : gmp + (2) h + nadph --> imp + nadp + nh4	b0104	1.7.1.7	(GMP-REDUCT-RXN)	((LEFT REMOVE PROTON) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
GUAD	guanine deaminase	[c] : gua + h + h2o --> nh4 + xan	b2883	3.5.4.3	(GUANINE-DEAMINASE-RXN)	((LEFT REMOVE PROTON) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
DHPPDA2	diaminohydroxyphosphoribosylaminopryrimidine deaminase (25drapp)	[c] : 25drapp + h + h2o --> 5apru + nh4	b0414	3.5.4.26	(RIBOFLAVINSYNDEAM-RXN)	((LEFT REMOVE PROTON) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
SADH	Succinylarginine dihydrolase	[c] : (2) h + (2) h2o + sucarg --> co2 + (2) nh4 + sucorn	b1745	2.6.1.69	(SUCCARGDIHYDRO-RXN)	((LEFT REMOVE PROTON) (RIGHT SUBSTITUTE AMMONIA AMMONIUM))				
