abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes
12DGR120tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)"	12dgr120[p] --> 12dgr120[c]					
12DGR140tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)"	12dgr140[p] --> 12dgr140[c]					
12DGR141tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)"	12dgr141[p] --> 12dgr141[c]					
12DGR160tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)"	12dgr160[p] --> 12dgr160[c]					
12DGR161tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)"	12dgr161[p] --> 12dgr161[c]					
12DGR180tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)"	12dgr180[p] --> 12dgr180[c]					
12DGR181tipp	"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)"	12dgr181[p] --> 12dgr181[c]					
12PPDStpp	"(S)-Propane-1,2-diol facilitated transport (periplasm)"	12ppd-S[p] <==> 12ppd-S[c]					
14GLUCANabcpp	"1,4-alpha-D-glucan transport via ABC system (periplasm)"	14glucan[p] + atp[c] + h2o[c] --> 14glucan[c] + adp[c] + h[c] + pi[c]	( b4034  and  b4033  and  b4032  and  b4035 )				
23DAPPAt2pp	"2,3-diaminopropionate transport in via proton symport"	23dappa[p] + h[p] --> 23dappa[c] + h[c]					
23PDE2pp	"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)"	[p] : 23cump + h2o --> 3ump + h	b4213	3.1.4.16			
23PDE4pp	"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)"	[p] : 23ccmp + h2o --> 3cmp + h	b4213	3.1.4.16			
23PDE7pp	"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)"	[p] : 23camp + h2o --> 3amp + h	b4213	3.1.4.16			
23PDE9pp	"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)"	[p] : 23cgmp + h2o --> 3gmp + h	b4213	3.1.4.16			
2AGPE120tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)	2agpe120[p] --> 2agpe120[c]	b2835				
2AGPE140tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)	2agpe140[p] --> 2agpe140[c]	b2835				
2AGPE141tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)	2agpe141[p] --> 2agpe141[c]	b2835				
2AGPE160tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)	2agpe160[p] --> 2agpe160[c]	b2835				
2AGPE161tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)	2agpe161[p] --> 2agpe161[c]	b2835				
2AGPE180tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)	2agpe180[p] --> 2agpe180[c]	b2835				
2AGPE181tipp	2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)	2agpe181[p] --> 2agpe181[c]	b2835				
2AGPEAT120	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)	[c] : 2agpe120 + atp + ddca --> amp + pe120 + ppi	b2836	2.3.1.40			
2AGPEAT140	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)	[c] : 2agpe140 + atp + ttdca --> amp + pe140 + ppi	b2836	2.3.1.40			
2AGPEAT160	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)	[c] : 2agpe160 + atp + hdca --> amp + pe160 + ppi	b2836	2.3.1.40			
2AGPEAT161	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)	[c] : 2agpe161 + atp + hdcea --> amp + pe161 + ppi	b2836	2.3.1.40			
2AGPEAT180	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)	[c] : 2agpe180 + atp + ocdca --> amp + pe180 + ppi	b2836	2.3.1.40			
2AGPEAT181	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)	[c] : 2agpe181 + atp + ocdcea --> amp + pe181 + ppi	b2836	2.3.1.40			
2AGPG160tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)	2agpg160[p] --> 2agpg160[c]	b2835				
2AGPG161tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)	2agpg161[p] --> 2agpg161[c]	b2835				
2AGPGAT160	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)	[c] : 2agpg160 + atp + hdca --> amp + pg160 + ppi	b2836	2.3.1.40			
2AGPGAT161	2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)	[c] : 2agpg161 + atp + hdcea --> amp + pg161 + ppi	b2836	2.3.1.40			
2DGLCNRx	2-dehydro-D-gluconate reductase (NADH)	[c] : 2dhglcn + h + nadh --> glcn + nad	b3553				
2DGULRx	2-dehydro-L-gulonate reductase (NADH)	[c] : 2dhguln + h + nadh --> idon-L + nad	b3553				
