abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes
12PPDStex	"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"	12ppd-S[e] <==> 12ppd-S[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
23CAMPtex	23cAMP transport via diffusion (extracellular to periplasm)	23camp[e] <==> 23camp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
23CCMPtex	23cCMP transport via diffusion (extracellular to periplasm)	23ccmp[e] <==> 23ccmp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
23CGMPtex	23cGMP transport via diffusion (extracellular to periplasm)	23cgmp[e] <==> 23cgmp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
23CUMPtex	23cUMP transport via diffusion (extracellular to periplasm)	23cump[e] <==> 23cump[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
23DAPPAtex	"2,3-diaminopropionate transport via diffusion"	23dappa[e] <==> 23dappa[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
26DAHtex	"meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)"	26dap-M[e] <==> 26dap-M[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
34dhpactex	dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)	34dhpac[e] <==> 34dhpac[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
3AMPtex	3AMP transport via diffusion (extracellular to periplasm)	3amp[e] <==> 3amp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
3CMPtex	3CMP transport via diffusion (extracellular to periplasm)	3cmp[e] <==> 3cmp[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
3GMPtex	3GMP transport via diffusion (extracellular to periplasm)	3gmp[e] <==> 3gmp[p]	( b0241  or  b1377  or  b2215  or  b0929 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
3PEPTtex	LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm)	LalaDgluMdap[e] <==> LalaDgluMdap[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:DIFFUSION)	(:OUTER-MEMBRANE-DIFFUSION)
