abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes
DM_4HBA	Sink needed to allow 4-hydroxy-benzoate to leave system	[c] : 4hba -->				(:EXCHANGE)	
DM_5DRIB	Sink needed to allow 5'-deoxyribose to leave system	[c] : 5drib -->				(:EXCHANGE)	
DM_AACALD	Sink needed to allow aminoacetaldehyde to leave system	[c] : aacald -->				(:EXCHANGE)	
DM_HMFURN	Sink needed to allow 4-hydroxy-5-methyl-3(2H)-furanone to leave system	[c] : hmfurn -->				(:EXCHANGE)	
DM_OXAM	Sink needed to allow oxamate to leave system	[c] : oxam -->				(:EXCHANGE)	
EX_12ppd-R(e)	"(R)-Propane-1,2-diol exchange"	[e] : 12ppd-R <==>				(:EXCHANGE)	
EX_12ppd-S(e)	"(S)-Propane-1,2-diol exchange"	[e] : 12ppd-S <==>				(:EXCHANGE)	
EX_14glucan(e)	"1,4-alpha-D-glucan exchange"	[e] : 14glucan <==>				(:EXCHANGE)	
EX_15dap(e)	"1,5-Diaminopentane exchange"	[e] : 15dap <==>				(:EXCHANGE)	
EX_23camp(e)	"2',3'-Cyclic AMP exchange"	[e] : 23camp <==>				(:EXCHANGE)	
EX_23ccmp(e)	"2',3'-Cyclic CMP exchange"	[e] : 23ccmp <==>				(:EXCHANGE)	
EX_23cgmp(e)	"2',3'-Cyclic GMP exchange"	[e] : 23cgmp <==>				(:EXCHANGE)	
EX_23cump(e)	"2',3'-Cyclic UMP exchange"	[e] : 23cump <==>				(:EXCHANGE)	
EX_23dappa(e)	"2,3-diaminopropionate exchange"	[e] : 23dappa <==>				(:EXCHANGE)	
EX_26dap-M(e)	"meso-2,6-Diaminoheptanedioate exchange"	[e] : 26dap-M <==>				(:EXCHANGE)	
EX_2ddglcn(e)	2-Dehydro-3-deoxy-D-gluconate exchange	[e] : 2ddglcn <==>				(:EXCHANGE)	
EX_34dhpac(e)	"3,4-Dihydroxyphenylacetaldehyde exchange"	[e] : 34dhpac <==>				(:EXCHANGE)	
EX_3amp(e)	3'-AMP exchange	[e] : 3amp <==>				(:EXCHANGE)	
