abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes
12PPDRtex	"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"	12ppd-R[e] <==> 12ppd-R[p]	( b0241  or  b0929  or  b1377  or  b2215 )			(:UNMAPPED-CPDS)	
12PPDRtpp	"(R)-Propane-1,2-diol facilitated transport (periplasm)"	12ppd-R[p] <==> 12ppd-R[c]				(:UNMAPPED-CPDS)	
2AGPA120tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)	2ddecg3p[p] --> 2ddecg3p[c]	b2835			(:UNMAPPED-CPDS)	
2AGPA140tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)	2tdecg3p[p] --> 2tdecg3p[c]	b2835			(:UNMAPPED-CPDS)	
2AGPA141tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)	2tdec7eg3p[p] --> 2tdec7eg3p[c]	b2835			(:UNMAPPED-CPDS)	
2AGPA160tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)	2hdecg3p[p] --> 2hdecg3p[c]	b2835			(:UNMAPPED-CPDS)	
2AGPA161tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)	2hdec9eg3p[p] --> 2hdec9eg3p[c]	b2835			(:UNMAPPED-CPDS)	
2AGPA180tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)	2odecg3p[p] --> 2odecg3p[c]	b2835			(:UNMAPPED-CPDS)	
2AGPA181tipp	2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)	2odec11eg3p[p] --> 2odec11eg3p[c]	b2835			(:UNMAPPED-CPDS)	
2AGPEAT141	2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)	[c] : 2agpe141 + atp + ttdcea --> amp + pe141 + ppi	b2836	2.3.1.40		(:UNMAPPED-CPDS)	
2AGPG120tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)	2agpg120[p] --> 2agpg120[c]	b2835			(:UNMAPPED-CPDS)	
2AGPG140tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)	2agpg140[p] --> 2agpg140[c]	b2835			(:UNMAPPED-CPDS)	
2AGPG141tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)	2agpg141[p] --> 2agpg141[c]	b2835			(:UNMAPPED-CPDS)	
2AGPG180tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)	2agpg180[p] --> 2agpg180[c]	b2835			(:UNMAPPED-CPDS)	
2AGPG181tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)	2agpg181[p] --> 2agpg181[c]	b2835			(:UNMAPPED-CPDS)	
2AGPGAT120	2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)	[c] : 2agpg120 + atp + ddca --> amp + pg120 + ppi	b2836	2.3.1.40		(:UNMAPPED-CPDS)	
2AGPGAT140	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)	[c] : 2agpg140 + atp + ttdca --> amp + pg140 + ppi	b2836	2.3.1.40		(:UNMAPPED-CPDS)	
2AGPGAT141	2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)	[c] : 2agpg141 + atp + ttdcea --> amp + pg141 + ppi	b2836	2.3.1.40		(:UNMAPPED-CPDS)	
2AGPGAT180	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)	[c] : 2agpg180 + atp + ocdca --> amp + pg180 + ppi	b2836	2.3.1.40		(:UNMAPPED-CPDS)	
2AGPGAT181	2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)	[c] : 2agpg181 + atp + ocdcea --> amp + pg181 + ppi	b2836	2.3.1.40		(:UNMAPPED-CPDS)	
3HCINNMH	3-hydroxycinnamate hydroxylase	[c] : 3hcinnm + h + nadh + o2 --> dhcinnm + h2o + nad	b0347			(:UNMAPPED-CPDS)	
4HTHRS	4-Hydroxy-L-threonine synthase	[c] : h2o + phthr --> 4hthr + pi	b0004			(:UNMAPPED-CPDS)	
4PCP	"tetrapeptide L,D-carboxypeptidase"	[c] : LalaDgluMdapDala + h2o --> LalaDgluMdap + ala-D	b1192			(:UNMAPPED-CPDS)	
