 abbreviation   , officialName   , formula        , reviewStatus , charge         , casNumber, formulaNeutral, CompoundNames, KeggID   
"10fthf","10-Formyltetrahydrofolate","C20H21N7O7","Not Reviewed","-2","","C20H23N7O7","10-Formyl-THF","C00234"
"12dgr_SC","1,2-Diacylglycerol, yeast-specific","C3540H6644O500","Not Reviewed","0","","","",""
"13BDglcn","1,3-beta-D-Glucan","C6H10O5","Not Reviewed","0","","","(1,3-beta-D-Glucosyl)n/ (1,3-beta-D-Glucosyl)n+1/ 1,3-beta-Glucan/ (1,3-beta-D-Glucosyl)n-1","C00965"
"13dampp","1,3-Diaminopropane","C3H12N2","Not Reviewed","2","109-76-2","","1,3-Propanediamine/ Propane-1,3-diamine/ Trimethylenediamine","C00986"
"13dpg","3-Phospho-D-glyceroyl phosphate","C3H4O10P2","Not Reviewed","-4","None","C3H8O10P2","1,3-bis-phosphoglycerate/ 3-Phospho-D-glyceroyl phosphate/ 1,3-bisphosphoglycerate/ (R)-2-Hydroxy-3-(phosphonooxy)-1-monoanhydride with phosphoric propanoic acid","C00236"
"14glun","(1,4-alpha-D-Glucosyl)n","C6H12O6","Not Reviewed","0","","","(1,4-alpha-D-Glucosyl)n+1/ (1,4-alpha-D-Glucosyl)n-1/ 1,4-alpha-D-Glucan/ 4-{(1,4)-alpha-D-Glucosyl}(n-1)-D-glucose",""
"16BDglcn","1,6-beta-D-Glucan","C6H10O5","Not Reviewed","0","","","","C02493"
"1Dgali","1-alpha-D-Galactosyl-myo-inositol","C12H22O11","Not Reviewed","0","","","1-O-alpha-D-Galactosyl-D-myo-inositol/ Galactinol","C01235"
"1ag3p_SC","1-Acyl-sn-glycerol 3-phosphate","C1920H3622O700P100","Not Reviewed","-200","","","",""
"1agly3p_SC","1-Acyl-glycerone 3-phosphate, yeast-specific","C1920H3422O700P100","Not Reviewed","-200","","","Dihydroxyacetone phosphate acyl ester/ Acylglycerone phosphate","C03372"
"1agpc_SC","1-Acyl-sn-glycerol-3-phosphocholine, yeast-specific","C2420H4922N100O700P100","Not Reviewed","0","","","Lyso-phosphatidylcholine/ 1-Acyl-sn-glycerol-3-phosphocholine/ 1-Acylglycero-3-phosphocholine",""
"1mncam","1-Methylnicotinamide","C7H9N2O","Not Reviewed","1","","C7H9N2O","",""
"1p3h5c","L-1-Pyrroline-3-hydroxy-5-carboxylate","C5H6NO3","Not Reviewed","-1","5255-75-4","C5H7NO3","3-Hydroxy-L-1-pyrroline-5-carboxylate","C04281"
"1pyr5c","1-Pyrroline-5-carboxylate","C5H6NO2","Not Reviewed","-1","","C5H7NO2","(S)-1-Pyrroline-5-carboxylate/ L-1-Pyrroline-5-carboxylate/ 1-Pyrroline-5-carboxylic acid","C03912"
"23camp","2',3'-Cyclic AMP","C10H11N5O6P","Not Reviewed","-1","","C10H12N5O6P","Adenosine-2’,3’-cyclicmonophosphate","C02353"
"23dhmb","(R)-2,3-Dihydroxy-3-methylbutanoate","C5H9O4","Not Reviewed","-1","","C5H10O4","(R)-2,3-Dihydroxy-isovaleric acid/ (R)-2,3-Dihydroxy-isovalerate","C04272"
"23dhmp","(R)-2,3-Dihydroxy-3-methylpentanoate","C6H11O4","Not Reviewed","-1","","C6H12O4","2,3-Dihydroxy-3-methylvalerate","C06007"
"23dpg","2,3-Disphospho-D-glycerate","C3H3O10P2","Not Reviewed","-5","","C3H8O10P2","3-Phospho-D-glycerol phosphate/ 2,3-Bisphospho-D-glycerate/ DPG/ D-Greenwald ester","C01159"
"25aics","(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate","C13H15N4O12P","Not Reviewed","-4","","C13H19N4O12P","1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole/ 1-(5'-Phosphoribosyl)-4-(N-succinocarboxamide)-5-aminoimidazole/ 5'-Phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole","C04823"
"25dhpp","2,5-Diamino-6-hydroxy-4-(5'-phosphoribosylamino)-pyrimidine","C9H14N5O8P","Not Reviewed","-2","","C9H16N5O8P","2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate","C01304"
"25dthpp","2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate","C9H16N5O8P","Not Reviewed","-2","","C9H18N5O8P","",""
"2ahbut","(S)-2-Aceto-2-hydroxybutanoate","C6H9O4","Not Reviewed","-1","","C6H10O4","","C06006"
"2ahhmd","2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate","C7H8N5O8P2","Not Reviewed","-3","70608-72-9","C7H11N5O8P2","2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine/ 7,8-Dihydropterin pyrophosphate","C04807"
"2ahhmp","2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine","C7H9N5O2","Not Reviewed","0","","","","C01300"
"2amsa","2-Aminomalonate semialdehyde","C3H5NO3","Not Reviewed","0","","C3H5NO3","2-Ammoniomalonate semialdehyde","C11822"
"2aobut","L-2-Amino-3-oxobutanoate","C4H7NO3","Not Reviewed","0","","C4H7NO3","L-2-Amino-acetoacetate","C03508"
"2cpr5p","1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate","C12H13NO9P","Not Reviewed","-3","","C12H16NO9P","","C01302"
"2dda7p","2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate","C7H10O10P","Not Reviewed","-3","","C7H13O10P","","C04691"
"2dglc","2-Deoxy-D-glucose","C6H12O5","Not Reviewed","0","","","2-Deoxy-D-arabino-hexose/ D-Arabino-2-deoxyhexose","C00586"
"2dhp","2-Dehydropantoate","C6H9O4","Not Reviewed","-1","","C6H10O4","alpha-ketopantoate","C00966"
