COMPOUND ID	NAME	FORMULA	KEGG	STATUS IN Oh et al model	MODEL IDs	CHARGE	DELTAG (kcal/mol)	DELTAGERR (kcal/mol)														
cpd00001	H2O|Water|HO-|OH-|h2o	H2O	C00001|C01328	h2o	iJR904:h2o|iAO358:cll_9|iAG612:cbs_1:cbs_152|iAF692:h2o|iSB619:h2o|iAF1260:h2o|iIT341:h2o|iAbaylyiv4:WATER|iND750:h2o|iYO844:h2o|iPS189:h2o|iNJ661:h2o|iJN746:h2o	0	-56.69	0.50														
cpd00002	ATP|Adenosine 5'-triphosphate|atp	C10H13N5O13P3	C00002	atp	iJR904:atp|iAO358:cll_0|iAG612:cbs_42:cbs_274|iAF692:atp|iSB619:atp|iAF1260:atp|iIT341:atp|iAbaylyiv4:ATP|iND750:atp|iYO844:atp|iPS189:atp|iNJ661:atp|iJN746:atp	-3	-673.85	3.04														
cpd00003	NAD+|NAD|Nicotinamide adenine dinucleotide|DPN|Diphosphopyridine nucleotide|Nadide|Nicotinamideadeninedinucleotide|nad	C21H26N7O14P2	C00003	nad	iJR904:nad|iAO358:cll_22|iAG612:cbs_35:cbs_61:cbs_150|iAF692:nad|iSB619:nad|iAF1260:nad|iIT341:nad|iAbaylyiv4:NAD|iND750:nad|iYO844:nad|iPS189:nad|iNJ661:nad|iJN746:nad	-1	-529.59	4.36														
cpd00004	NADH|DPNH|Nicotinamide adenine dinucleotide - reduced|Nicotinamideadeninedinucleotide-reduced|nadh	C21H27N7O14P2	C00004	nadh	iJR904:nadh|iAO358:cll_19:cll_23|iAG612:cbs_37|iAF692:nadh|iSB619:nadh|iAF1260:nadh|iIT341:nadh|iAbaylyiv4:NADH|iND750:nadh|iYO844:nadh|iPS189:nadh|iNJ661:nadh|iJN746:nadh	-2	-524.32	4.27														
cpd00005	NADPH|TPNH|Nicotinamide adenine dinucleotide phosphate - reduced|Nicotinamideadeninedinucleotidephosphate-reduced|nadph	C21H27N7O17P3	C00005	nadph	iJR904:nadph|iAO358:cll_61|iAG612:cbs_23:cbs_63|iAF692:nadph|iSB619:nadph|iAF1260:nadph|iIT341:nadph|iAbaylyiv4:NADPH|iND750:nadph|iYO844:nadph|iPS189:nadph|iNJ661:nadph|iJN746:nadph	-3	-736.82	4.26														
cpd00006	NADP+|NADP|Nicotinamide adenine dinucleotide phosphate|beta-Nicotinamide adenine dinucleotide phosphate|TPN|Triphosphopyridine nucleotide|Nicotinamide adenine dinucleotide phosphate -|Nicotinamideadeninedinucleotidephosphate|nadp	C21H26N7O17P3	C00006	nadp	iJR904:nadp|iAO358:cll_63|iAG612:cbs_26|iAF692:nadp|iSB619:nadp|iAF1260:nadp|iIT341:nadp|iAbaylyiv4:NADP|iND750:nadp|iYO844:nadp|iPS189:nadp|iNJ661:nadp|iJN746:nadp	-2	-742.09	4.35														
cpd00007	Oxygen|O2|o2|dioxygen	O2	C00007	o2	iJR904:o2|iAO358:cll_115:cll_291|iAG612:cbs_16:cbs_472|iAF692:o2|iSB619:o2|iAF1260:o2|iIT341:o2|iAbaylyiv4:OXYGEN-MOLECULE|iND750:o2|iYO844:o2|iNJ661:o2|iJN746:o2	0	3.92	0.50														
cpd00008	ADP|Adenosine 5'-diphosphate|adp	C10H13N5O10P2	C00008	adp	iJR904:adp|iAO358:cll_3|iAG612:cbs_44|iAF692:adp|iSB619:adp|iAF1260:adp|iIT341:adp|iAbaylyiv4:ADP|iND750:adp|iYO844:adp|iPS189:adp|iNJ661:adp|iJN746:adp	-2	-465.85	3.04														
cpd00009	Orthophosphate|Phosphate|Phosphoric acid|Orthophosphoric acid|phosphate	HO4P	C00009	pi	iJR904:pi|iAO358:cll_4|iAG612:cbs_27|iAF692:pi|iSB619:pi|iAF1260:pi|iIT341:pi|iAbaylyiv4:PI|iND750:pi|iYO844:pi|iPS189:pi|iNJ661:pi|iJN746:pi	-2	-261.97	0.50														
cpd00010	CoA|Coenzyme A|CoA-SH|CoenzymeA|coA|coenzyme a	C21H33N7O16P3S	C00010	coa	iJR904:coa|iAO358:cll_11|iAG612:cbs_66:cbs_83|iAF692:coa|iSB619:coa|iAF1260:coa|iIT341:coa|iAbaylyiv4:CO-A|iND750:coa|iYO844:coa|iPS189:coa|iNJ661:coa|iJN746:coa	-3	-751.99	3.45														
