REACTION ID	NAME	REACTION DEFINITION	REACTION EQUATION	ENZYME	ASSOCIATED PEG	SUBSYSTEM CLASS	REACTION CLASS	KEGG	STATUS IN Oh et al model	MODEL IDs	DELTAG (kcal/mol)	DELTAGERR (kcal/mol)	MMDELTAG (kcal/mol)	PREDICTED DIRECTIONALITY	THERMODYNAMIC CLASS
rxn00001	Pyrophosphate phosphohydrolase|inorganic diphosphatase|inorganic diphosphatase, mitochondrial|Pyrophosphate phosphohydrolase|PPA|inorganic diphosphatase (one proton translocation)|inorganicdiphosphatase|inorganic pyrophosphatase	PPi + H2O => 2 Phosphate + 2 H+	cpd00012 + cpd00001 => 2 cpd00009 + 2 cpd00067	3.6.1.1	peg.4061|peg.3503	Cofactors, Vitamins, Prosthetic Groups, Pigments	Positive variable	R00004	PPA	iJR904:PPA|iAG612:rbs_266:rbs_267|iAF692:PPA:PPA_1|iSB619:PPA|iAF1260:PPA|iIT341:PPA|iAbaylyiv4:INORGPYROPHOSPHAT-RXN|iND750:PPAm:PPA|iYO844:PPA|iPS189:PPA|iNJ661:PPA|iJN746:PPA	-5.39	1.22	-9.49	=>	IRREVERSIBLE BY POINTS
rxn00002	Urea-1-carboxylate amidohydrolase|allophanate hydrolase	3 H+ + H2O + Allophanate => 2 CO2 + 2 NH3	3 cpd00067 + cpd00001 + cpd00742 => 2 cpd00011 + 2 cpd00013	3.5.1.54	peg.409	Carbohydrates	Blocked	R00005	NOT IN MODEL	iAbaylyiv4:ALLOPHANATE-HYDROLASE-RXN|iND750:ALPHNH	-9.62	1.78	-24.65	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase|catalase|catalase A, peroxisomal|hydrogen-peroxide:hydrogen-peroxide oxidoreductase|CAT	2 H2O2 => O2 + 2 H2O	2 cpd00025 => cpd00007 + 2 cpd00001	1.11.1.6	peg.3868|peg.3910|peg.881	Carbohydrates	Positive variable	R00009	CAT	iJR904:CAT|iAF692:CAT|iSB619:CAT|iAF1260:CAT|iIT341:CAT|iAbaylyiv4:CATAL-RXN|iND750:CATp:CAT|iYO844:CAT|iNJ661:CAT|iJN746:CAT	-45.35	1.50	-45.35	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase|(decarboxylating)	CO2 + 2-Hydroxyethyl-ThPP <= H+ + Pyruvate + TPP	cpd00011 + cpd03049 <= cpd00067 + cpd00020 + cpd00056	1.2.4.1|2.2.1.6|4.1.1.1	peg.1460+peg.1461|peg.2833+peg.2834|peg.3608	Carbohydrates	Negative variable	R00014	NOT IN MODEL		6.87	0.76	8.24	<=	IRREVERSIBLE BY POINTS
rxn00016	Hexosaminidase	H2O + Chitobiose <=> 2 GlcNAc	cpd00001 + cpd01157 <=> 2 cpd00122	3.2.1.52	peg.166	Carbohydrates	Blocked	R00022	HXAD	iYO844:HXAD	-3.11	0.69	-7.21	<=>	REVERSIBLE BY POINTS
rxn00022	alpha-D-Glucoside glucohydrolase|alpha-glucosidase	H2O + Maltose <=> 2 Glucose	cpd00001 + cpd00179 <=> 2 cpd00027	3.2.1.20	peg.3132	Carbohydrates	Positive variable	R00028	MALT	iAO358:rll_13|iAG612:rbs_447:rbs_448:rbs_449|iYO844:MALT|iND750:MALT|iNJ661:MALT|iSB619:MALT	-3.11	0.69	-7.21	<=>	REVERSIBLE BY POINTS
rxn00029	5-Aminolevulinate hydro-lyase(adding 5-aminolevulinate and|cyclizing)|porphobilinogen synthase|cyclizing)|PPBNGS|porphobilinogensynthase	2 5-Aminolevulinate => H+ + 2 H2O + Porphobilinogen	2 cpd00338 => cpd00067 + 2 cpd00001 + cpd00689	4.2.1.24	peg.2816	Cofactors, Vitamins, Prosthetic Groups, Pigments	Blocked	R00036	PPBNGS	iJR904:PPBNGS|iAF692:PPBNGS|iSB619:PPBNGS|iAF1260:PPBNGS|iIT341:PPBNGS|iAbaylyiv4:PORPHOBILSYNTH-RXN|iND750:PPBNGS|iYO844:PPBNGS|iNJ661:PPBNGS|iJN746:PPBNGS	-15.30	1.69	-11.21	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)|lumazine 2,3-butanediyltransferase|riboflavin synthase|lumazine 2,3-butanediyltransferase|RBFSb|riboflavin synthase beta chain|riboflavinsynthase	2 6-7-Dimethyl-8--1-D-ribityllumazine => RIBF + 4--1-D-Ribitylamino-5-aminouracil	2 cpd02656 => cpd00220 + cpd02882	2.5.1.9	peg.2331|peg.2328	Cofactors, Vitamins, Prosthetic Groups, Pigments	Positive variable	R00066	RBFSb	iJR904:RBFSb|iAO358:rll_399|iAF692:RBFSb|iSB619:RBFSb|iAF1260:RBFSb|iIT341:RBFSb|iAbaylyiv4:RIBOFLAVIN-SYN-RXN|iND750:RBFSb|iYO844:RBFSb|iNJ661:RBFSb|iJN746:RBFSb	-51.05	2.99	-51.05	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00060	Porphobilinogen ammonia-lyase (polymerizing)|hydroxymethylbilane synthase|Porphobilinogen ammonia-lyase (polymerizing)|HMBS|hydroxymethylbilanesynthase	H2O + 4 Porphobilinogen => 4 NH3 + Hydroxymethylbilane	cpd00001 + 4 cpd00689 => 4 cpd00013 + cpd00755	2.5.1.61|4.3.1.8	peg.2818	Cofactors, Vitamins, Prosthetic Groups, Pigments	Blocked	R00084	HMBS	iJR904:HMBS|iAF692:HMBS|iSB619:HMBS|iAF1260:HMBS|iIT341:HMBS|iAbaylyiv4:OHMETHYLBILANESYN-RXN|iND750:HMBS|iYO844:HMBS|iNJ661:HMBS|iJN746:HMBS	-25.97	2.61	-30.07	=>	IRREVERSIBLE BY DELTAG MINMAX
rxn00062	ATP phosphohydrolase (protein-secreting)|ATP maintenance requirement|nucleoside-triphosphatase (ATP)|ATP maintenance requirment|atp maintenance requirement	ATP + H2O => ADP + Phosphate + H+	cpd00002 + cpd00001 => cpd00008 + cpd00009 + cpd00067	3.6.1.3|3.6.1.5|3.6.1.8|3.6.1.15|3.6.3.1|3.6.3.2|3.6.3.3|3.6.3.4|3.6.3.5|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.4.1|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|3.6.4.10|3.6.4.11|3.6.1.-	SPONTANEOUS	Nucleosides and Nucleotides	Positive variable	R00086	ATPM	iJR904:ATPM|iAbaylyiv4:ATP-DRAIN-RXN|iAF692:ATPM:NTP1|iYO844:ATPM|iND750:ATPM|iPS189:ATPM|iSB619:ATPM|iAF1260:ATPM:NTP1	-6.82	0.72	-10.92	=>	IRREVERSIBLE BY DELTAG MINMAX
