REACTION ID	ASSOCIATED PEG
rxn00137	MANUAL OPEN PROBLEM REACTION
rxn00191	MANUAL OPEN PROBLEM REACTION
rxn00955	MANUAL OPEN PROBLEM REACTION
rxn01146	MANUAL OPEN PROBLEM REACTION
rxn05039	MANUAL OPEN PROBLEM REACTION
rxn05301	MANUAL OPEN PROBLEM REACTION
rxn05481	MANUAL OPEN PROBLEM REACTION
rxn05491	MANUAL OPEN PROBLEM REACTION
rxn05498	MANUAL OPEN PROBLEM REACTION
rxn05508	MANUAL OPEN PROBLEM REACTION
rxn05511	MANUAL OPEN PROBLEM REACTION
rxn05519	MANUAL OPEN PROBLEM REACTION
rxn05529	MANUAL OPEN PROBLEM REACTION
rxn05553	MANUAL OPEN PROBLEM REACTION
rxn05597	MANUAL OPEN PROBLEM REACTION
rxn05601	MANUAL OPEN PROBLEM REACTION
rxn05635	MANUAL OPEN PROBLEM REACTION
rxn05657	MANUAL OPEN PROBLEM REACTION
rxn06525	MANUAL OPEN PROBLEM REACTION
rxn06526	MANUAL OPEN PROBLEM REACTION
rxn09102	MANUAL OPEN PROBLEM REACTION
rxn09104	MANUAL OPEN PROBLEM REACTION
rxn09106	MANUAL OPEN PROBLEM REACTION
rxn10001	MANUAL OPEN PROBLEM REACTION
rxn10002	MANUAL OPEN PROBLEM REACTION
rxn10200	MANUAL OPEN PROBLEM REACTION
rxn10201	MANUAL OPEN PROBLEM REACTION
rxn10244	MANUAL OPEN PROBLEM REACTION
rxn10245	MANUAL OPEN PROBLEM REACTION
rxn10246	MANUAL OPEN PROBLEM REACTION
rxn10247	MANUAL OPEN PROBLEM REACTION
rxn10248	MANUAL OPEN PROBLEM REACTION
rxn10249	MANUAL OPEN PROBLEM REACTION
rxn10250	MANUAL OPEN PROBLEM REACTION
rxn10251	MANUAL OPEN PROBLEM REACTION
rxn10252	MANUAL OPEN PROBLEM REACTION
rxn10265	MANUAL OPEN PROBLEM REACTION
rxn10266	MANUAL OPEN PROBLEM REACTION
