REACTION ID	REACTION NAME	REACTION DEFINITION	REACTION EQUATION	DELTAG (kcal/mol)	ASSOCIATED PEG	GROWMATCH CORRECTION
rxn00141	S-Adenosyl-L-homocysteine hydrolase|adenosylhomocysteinase|Adenosylhomocysteinase	H2O + S-Adenosylhomocysteine <=> L-Homocysteine + Adenosine	cpd00001 + cpd00019 <=> cpd00135 + cpd00182	5.673	NONE	ADDED BY GAPFILLING
rxn00327	Ureidoglycolate amidohydrolase (decarboxylating)|Ureidoglycolate hydrolase|ureidoglycolate hydrolase	2 H+ + H2O + Ureidoglycolate => CO2 + 2 NH3 + Glyoxylate	2 cpd00067 + cpd00001 + cpd00465 => cpd00011 + 2 cpd00013 + cpd00040	-1.513	NONE	ADDED BY GAPFILLING
rxn00396	ATP:L-arginine N-phosphotransferase	ATP + L-Arginine <=> ADP + H+ + Phosphoarginine	cpd00002 + cpd00051 <=> cpd00008 + cpd00067 + cpd03535	1.93	NONE	ADDED BY GAPFILLING
rxn00430	methanol:NAD+ oxidoreductase|methanol:NAD+ oxidoreductase|alcohol dehydrogenase (methanol)	NAD + Methanol <=> H+ + NADH + Methanal	cpd00003 + cpd00116 <=> cpd00067 + cpd00004 + cpd00055	6.44	NONE	ADDED BY GAPFILLING
rxn00490	L-Arogenate hydro-lyase (decarboxylating)	H+ + L-Arogenate => H2O + CO2 + L-Phenylalanine	cpd00067 + cpd00616 => cpd00001 + cpd00011 + cpd00066	-29.067	NONE	ADDED BY GAPFILLING
rxn00538	Ethanolamine-phosphate phospho-lyase (deaminating)	H2O + Phosphoethanolamine => Phosphate + H+ + NH3 + AALD	cpd00001 + cpd00285 => cpd00009 + cpd00067 + cpd00013 + cpd00071	-10.177	NONE	ADDED BY GAPFILLING
rxn00539	Ethanolamine ammonia-lyase|ethanolamine ammonia-lyase	Ethanolamine => NH3 + AALD	cpd00162 => cpd00013 + cpd00071	-7.86	NONE	ADDED BY GAPFILLING
rxn00542	(S)-Lactate acetaldehyde-lyase	LCTT <=> FORM + AALD	cpd00159 <=> cpd00047 + cpd00071	5.87	NONE	ADDED BY GAPFILLING
rxn00582	Sucrose glucosylmutase|isomaltulose synthase	SUCR <=> Palatinose	cpd00076 <=> cpd01200	0	NONE	ADDED BY GAPFILLING
rxn00751	ATP:choline phosphotransferase|Choline kinase	ATP + Choline <=> ADP + Phosphocholine	cpd00002 + cpd00098 <=> cpd00008 + cpd00457	-4.5	NONE	ADDED BY GAPFILLING
rxn00762	Glycerol:NAD+ oxidoreductase|Glycerol dehydrogenase	NAD + GLYC <=> H+ + NADH + Glycerone	cpd00003 + cpd00100 <=> cpd00067 + cpd00004 + cpd00157	3.76	NONE	ADDED BY GAPFILLING
rxn00787	"D-Tagatose 1,6-bisphosphate triosephosphate lyase|D-Tagatose 1,6-bisphosphate triosephosphate lyase|Tagatose-bisphosphate aldolase|tagatose-bisphosphate aldolase"	"D-Tagatose 1,6-biphosphate <=> Glyceraldehyde3-phosphate + Glycerone phosphate"	cpd02371 <=> cpd00102 + cpd00095	4.31	NONE	ADDED BY GAPFILLING
rxn00877	2-Methylpropanoyl-CoA CoA-carbonylmutase	Isobutyryl-CoA <=> Butyryl-CoA	cpd00481 <=> cpd00120	1.81	NONE	ADDED BY GAPFILLING
rxn00892	ATP:N-acetyl-D-glucosamine 6-phosphotransferase|N-acetylglucosamine kinase	ATP + GlcNAc <=> ADP + N-Acetyl-D-glucosamine 6-phosphate	cpd00002 + cpd00122 <=> cpd00008 + cpd00293	-4.5	NONE	ADDED BY GAPFILLING
rxn00897	N-Acyl-D-glucosamine 2-epimerase	GlcNAc <=> N-Acetyl-D-mannosamine	cpd00122 <=> cpd00492	0	NONE	ADDED BY GAPFILLING
rxn00916	Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)|Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)|GMP synthase	ATP + NH3 + XMP <=> H+ + PPi + AMP + GMP	cpd00002 + cpd00013 + cpd00497 <=> cpd00067 + cpd00012 + cpd00018 + cpd00126	0.64	NONE	ADDED BY GAPFILLING
rxn00980	2-Phosphoglycolate phosphohydrolase|Phosphoglycolate phosphatase|phosphoglycolate phosphatase	H2O + 2-Phosphoglycolate => Phosphate + H+ + Glycolate	cpd00001 + cpd00727 => cpd00009 + cpd00067 + cpd00139	-2.317	NONE	ADDED BY GAPFILLING
rxn01152	D-Arabinose ketol-isomerase|arabinose isomerase	D-Arabinose <=> D-Ribulose	cpd00185 <=> cpd00258	-0.89	NONE	ADDED BY GAPFILLING
rxn01290	L-Arabitol:NAD+ 1-oxidoreductase	NAD + L-Lyxitol <=> H+ + NADH + L-Arabinose	cpd00003 + cpd00417 <=> cpd00067 + cpd00004 + cpd00224	4.7	NONE	ADDED BY GAPFILLING
rxn01322	N-Acetylneuraminate pyruvate-lyase|N-Acetylneuraminate lyase	Neu5Ac <=> Pyruvate + N-Acetyl-D-mannosamine	cpd00232 <=> cpd00020 + cpd00492	1.08	NONE	ADDED BY GAPFILLING
rxn01813	Trimetaphosphate hydrolase	H2O + Trimetaphosphate <=> H+ + Triphosphate	cpd00001 + cpd01622 <=> cpd00067 + cpd00421	UNKNOWN	NONE	ADDED BY GAPFILLING
