Unoptimized model						Gap filled model						Optimized model				
False negatives	False positives	Correct negatives	Correct positives			False negatives	False positives	Correct negatives	Correct positives			False negatives	False positives	Correct negatives	Correct positives	
101	39	258	1074			56	44	253	1119			56	33	264	1118	
Run result	Experiment type	Media	Experiment ID	Reactions knocked out		Run result	Experiment type	Media	Experiment ID	Reactions knocked out		Run result	Experiment type	Media	Experiment ID	Reactions knocked out
Correct positive	Gene KO	ArgonneLBMedia	peg.1001	rxn05663		Correct positive	Gene KO	ArgonneLBMedia	peg.1001	rxn05663		Correct positive	Gene KO	ArgonneLBMedia	peg.1001	rxn05663
Correct positive	Gene KO	ArgonneLBMedia	peg.1002	"rxn02914,rxn03445"		Correct positive	Gene KO	ArgonneLBMedia	peg.1002	"rxn02914,rxn03445"		Correct positive	Gene KO	ArgonneLBMedia	peg.1002	"rxn02914,rxn03445"
Correct positive	Gene KO	ArgonneLBMedia	peg.1007			Correct positive	Gene KO	ArgonneLBMedia	peg.1007			Correct positive	Gene KO	ArgonneLBMedia	peg.1007	
Correct positive	Gene KO	ArgonneLBMedia	peg.1012	rxn02288		Correct positive	Gene KO	ArgonneLBMedia	peg.1012	rxn02288		Correct positive	Gene KO	ArgonneLBMedia	peg.1012	rxn02288
Correct positive	Gene KO	ArgonneLBMedia	peg.1013	rxn00224		Correct positive	Gene KO	ArgonneLBMedia	peg.1013	rxn00224		Correct positive	Gene KO	ArgonneLBMedia	peg.1013	rxn00224
Correct positive	Gene KO	ArgonneLBMedia	peg.1014	rxn02304		Correct positive	Gene KO	ArgonneLBMedia	peg.1014	rxn02304		Correct positive	Gene KO	ArgonneLBMedia	peg.1014	rxn02304
Correct positive	Gene KO	ArgonneLBMedia	peg.1017			Correct positive	Gene KO	ArgonneLBMedia	peg.1017			Correct positive	Gene KO	ArgonneLBMedia	peg.1017	
Correct positive	Gene KO	ArgonneLBMedia	peg.1022			Correct positive	Gene KO	ArgonneLBMedia	peg.1022			Correct positive	Gene KO	ArgonneLBMedia	peg.1022	
Correct positive	Gene KO	ArgonneLBMedia	peg.1027			Correct positive	Gene KO	ArgonneLBMedia	peg.1027			Correct positive	Gene KO	ArgonneLBMedia	peg.1027	
Correct positive	Gene KO	ArgonneLBMedia	peg.1032			Correct positive	Gene KO	ArgonneLBMedia	peg.1032			Correct positive	Gene KO	ArgonneLBMedia	peg.1032	
Correct positive	Gene KO	ArgonneLBMedia	peg.1035			Correct positive	Gene KO	ArgonneLBMedia	peg.1035			Correct positive	Gene KO	ArgonneLBMedia	peg.1035	
Correct positive	Gene KO	ArgonneLBMedia	peg.1036			Correct positive	Gene KO	ArgonneLBMedia	peg.1036			Correct positive	Gene KO	ArgonneLBMedia	peg.1036	
Correct positive	Gene KO	ArgonneLBMedia	peg.1037			Correct positive	Gene KO	ArgonneLBMedia	peg.1037			Correct positive	Gene KO	ArgonneLBMedia	peg.1037	
Correct positive	Gene KO	ArgonneLBMedia	peg.1052	rxn05611		Correct positive	Gene KO	ArgonneLBMedia	peg.1052	rxn05611		Correct positive	Gene KO	ArgonneLBMedia	peg.1052	rxn05611
Correct positive	Gene KO	ArgonneLBMedia	peg.1079			Correct positive	Gene KO	ArgonneLBMedia	peg.1079			Correct positive	Gene KO	ArgonneLBMedia	peg.1079	
Correct positive	Gene KO	ArgonneLBMedia	peg.1080	"rxn05031,rxn01489,rxn02945"		Correct positive	Gene KO	ArgonneLBMedia	peg.1080	"rxn05031,rxn01489,rxn02945"		Correct positive	Gene KO	ArgonneLBMedia	peg.1080	"rxn05031,rxn01489,rxn02945"
Correct positive	Gene KO	ArgonneLBMedia	peg.1084			Correct positive	Gene KO	ArgonneLBMedia	peg.1084			Correct positive	Gene KO	ArgonneLBMedia	peg.1084	
Correct positive	Gene KO	ArgonneLBMedia	peg.1086	rxn05305		Correct positive	Gene KO	ArgonneLBMedia	peg.1086	rxn05305		Correct positive	Gene KO	ArgonneLBMedia	peg.1086	rxn05305
Correct positive	Gene KO	ArgonneLBMedia	peg.1091			Correct positive	Gene KO	ArgonneLBMedia	peg.1091			Correct positive	Gene KO	ArgonneLBMedia	peg.1091	
Correct positive	Gene KO	ArgonneLBMedia	peg.1092			Correct positive	Gene KO	ArgonneLBMedia	peg.1092			Correct positive	Gene KO	ArgonneLBMedia	peg.1092	
Correct positive	Gene KO	ArgonneLBMedia	peg.1093			Correct positive	Gene KO	ArgonneLBMedia	peg.1093			Correct positive	Gene KO	ArgonneLBMedia	peg.1093	
Correct positive	Gene KO	ArgonneLBMedia	peg.1094	rxn04036		Correct positive	Gene KO	ArgonneLBMedia	peg.1094	rxn04036		Correct positive	Gene KO	ArgonneLBMedia	peg.1094	rxn04036
Correct positive	Gene KO	ArgonneLBMedia	peg.1095	rxn07307		Correct positive	Gene KO	ArgonneLBMedia	peg.1095	rxn07307		Correct positive	Gene KO	ArgonneLBMedia	peg.1095	rxn07307
Correct positive	Gene KO	ArgonneLBMedia	peg.1101	rxn00910		Correct positive	Gene KO	ArgonneLBMedia	peg.1101	rxn00910		Correct positive	Gene KO	ArgonneLBMedia	peg.1101	rxn00910
Correct positive	Gene KO	ArgonneLBMedia	peg.1120	rxn02465		Correct positive	Gene KO	ArgonneLBMedia	peg.1120	rxn02465		Correct positive	Gene KO	ArgonneLBMedia	peg.1120	rxn02465
Correct positive	Gene KO	ArgonneLBMedia	peg.1121	"rxn00192,rxn01636"		Correct positive	Gene KO	ArgonneLBMedia	peg.1121	"rxn00192,rxn01636"		Correct positive	Gene KO	ArgonneLBMedia	peg.1121	"rxn00192,rxn01636"
Correct positive	Gene KO	ArgonneLBMedia	peg.1122	rxn01917		Correct positive	Gene KO	ArgonneLBMedia	peg.1122	rxn01917		Correct positive	Gene KO	ArgonneLBMedia	peg.1122	rxn01917
Correct positive	Gene KO	ArgonneLBMedia	peg.1123	rxn01637		Correct positive	Gene KO	ArgonneLBMedia	peg.1123	rxn01637		Correct positive	Gene KO	ArgonneLBMedia	peg.1123	rxn01637
Correct positive	Gene KO	ArgonneLBMedia	peg.1124			Correct positive	Gene KO	ArgonneLBMedia	peg.1124			Correct positive	Gene KO	ArgonneLBMedia	peg.1124	
Correct positive	Gene KO	ArgonneLBMedia	peg.1125			Correct positive	Gene KO	ArgonneLBMedia	peg.1125			Correct positive	Gene KO	ArgonneLBMedia	peg.1125	
Correct positive	Gene KO	ArgonneLBMedia	peg.1126	rxn01019		Correct positive	Gene KO	ArgonneLBMedia	peg.1126	rxn01019		Correct positive	Gene KO	ArgonneLBMedia	peg.1126	rxn01019
Correct positive	Gene KO	ArgonneLBMedia	peg.1134			Correct positive	Gene KO	ArgonneLBMedia	peg.1134			Correct positive	Gene KO	ArgonneLBMedia	peg.1134	
Correct positive	Gene KO	ArgonneLBMedia	peg.1151			Correct positive	Gene KO	ArgonneLBMedia	peg.1151			Correct positive	Gene KO	ArgonneLBMedia	peg.1151	
Correct positive	Gene KO	ArgonneLBMedia	peg.1159	rxn00065		Correct positive	Gene KO	ArgonneLBMedia	peg.1159	rxn00065		Correct positive	Gene KO	ArgonneLBMedia	peg.1159	rxn00065
Correct positive	Gene KO	ArgonneLBMedia	peg.1161			Correct positive	Gene KO	ArgonneLBMedia	peg.1161			Correct positive	Gene KO	ArgonneLBMedia	peg.1161	
Correct positive	Gene KO	ArgonneLBMedia	peg.1166	rxn01537		Correct positive	Gene KO	ArgonneLBMedia	peg.1166	rxn01537		Correct positive	Gene KO	ArgonneLBMedia	peg.1166	rxn01537
Correct positive	Gene KO	ArgonneLBMedia	peg.1167			Correct positive	Gene KO	ArgonneLBMedia	peg.1167			Correct positive	Gene KO	ArgonneLBMedia	peg.1167	
Correct positive	Gene KO	ArgonneLBMedia	peg.1168	"rxn04092,rxn00269"		Correct positive	Gene KO	ArgonneLBMedia	peg.1168	"rxn04092,rxn00269"		Correct positive	Gene KO	ArgonneLBMedia	peg.1168	"rxn04092,rxn00269"
Correct positive	Gene KO	ArgonneLBMedia	peg.1172			Correct positive	Gene KO	ArgonneLBMedia	peg.1172			Correct positive	Gene KO	ArgonneLBMedia	peg.1172	
Correct positive	Gene KO	ArgonneLBMedia	peg.1173			Correct positive	Gene KO	ArgonneLBMedia	peg.1173			Correct positive	Gene KO	ArgonneLBMedia	peg.1173	
Correct positive	Gene KO	ArgonneLBMedia	peg.1188	"rxn00740,rxn01816"		Correct positive	Gene KO	ArgonneLBMedia	peg.1188	"rxn00740,rxn01816"		Correct positive	Gene KO	ArgonneLBMedia	peg.1188	"rxn00740,rxn01816"
