abbreviation	name	equation	reversible	compartement	lowbnd	uppbnd	obj_coef	rule	subsystem
Trans_tagd	D-Tagaturonate transporter 	tagd[e] + h2o[c] + atp[c] --> tagd[c] + pi[c] + adp[c]	false	C_c, C_e	0	1000	0		ATP driven transport
Trans_ppat	phosphonate ABC transporter ATP-binding protein	ppat[e] + atp[c] + h2o[c] --> ppat[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(phnL) or (phnK)	ATP-driven transport
Trans_gluL	amino-acid ABC transport (L-glutamate)	gluL[e] + atp[c] + h2o[c] --> gluL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_asnL	L-asparagine transporter	asnL[e] + atp[c] + h2o[c] --> asnL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_glyb	glycine betaine ABC transporter	glyb[e] + atp[c] + h2o[c] --> glyb[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(opuCA) and (opuCC) and (CD3215)	ATP-driven transport
Trans_aspL2	L-aspartate transporter	aspL[e] + atp[c] + h2o[c] --> aspL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_ptrc	putrescine ABC transport	ptrc[e] + atp[c] + h2o[c] --> ptrc[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(potA) and (potC) and (potB) and (potD)	ATP-driven transport
Trans_metD	D-methionine ABC transporter	metD[e] + atp[c] + h2o[c] --> metD[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(metN) and (metI) and (metQ) and (CD1653)	ATP-driven transport
Trans_chol	choline ABC transporter	chol[e] + atp[c] + h2o[c] --> chol[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(opuCA) and (opuCC) and (CD3215)	ATP-driven transport
Trans_atp	sodium extrusion ABC transporter	na[e] + atp[c] + h2o[c] --> na[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1614) or (CD1659) or (CD0591) or (CD1615)	ATP-driven transport
Trans_glnL	amino-acid ABC transport (L-glutamine)	glnL[e] + atp[c] + h2o[c] --> glnL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_pi2	phosphate active transporter	pi[e] + atp[c] + h2o[c] --> pi[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD3263) or (pstA) or (pstS) or (pstB)	ATP-driven transport
Trans_argL	L-arginine transporter	argL[e] + atp[c] + h2o[c] --> argL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_his	amino-acid ABC transport (L-histidine)	his[e] + atp[c] + h2o[c] --> his[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
Trans_tyrL	amino-acid ABC transport (L-tyrosine)	tyrL[e] + atp[c] + h2o[c] --> tyrL[c] + adp[c] + pi[c]	false	C_c, C_e	0	1000	0	(CD1775) or (CD1776) or (CD2172) or (CD0752) or (CD0751)	ATP-driven transport
