abbreviation, officialName, equation, subSystem, proteinClass, proteinGeneAssociation, geneAssociation, proteinAssociation
"13BGH","Endo-1,3-beta-glucan glucohydrase","[c] : 13BDglcn + h2o --> glc-D","Starch and Sucrose Metabolism","3.2.1.58","Bgl2-e (YGR282C) ","YGR282C","Bgl2-e"
"13BGHe","Exo-1,3-beta-glucan glucohydrase","[e] : 13BDglcn + h2o --> glc-D","Starch and Sucrose Metabolism","3.2.1.58","( Spr1-e (YOR190W)  ) or ( Exg2-e (YDR261C)  ) or ( Exg1-e (YLR300W)  )","( YOR190W  or  YDR261C  or  YLR300W )","( Spr1-e ) or ( Exg2-e ) or ( Exg1-e )"
"13GS","1,3-beta-glucan synthase","[c] : udpg --> 13BDglcn + h + udp","Alternate Carbon Metabolism","2.4.1.34","( Bdgs1 ( YCR034W and YGR032W )  and Gas2 (YLR343W)  ) or ( Bdgs1 ( YCR034W and YGR032W )  and Gas3 (YMR215W)  ) or ( Bdgs3 ( YCR034W and YMR306W )  and Gas3 (YMR215W)  ) or ( Bdgs2 ( YCR034W and YLR342W )  and Gas4 (YOL132W)  ) or ( Bdgs3 ( YCR034W and YMR306W )  and Gas4 (YOL132W)  ) or ( Bdgs1 ( YCR034W and YGR032W )  and Gas5 (YOL030W)  ) or ( Bdgs2 ( YCR034W and YLR342W )  and Gas5 (YOL030W)  ) or ( Bdgs3 ( YCR034W and YMR306W )  and Gas5 (YOL030W)  ) or ( Bdgs2 ( YCR034W and YLR342W )  and Gas2 (YLR343W)  ) or ( Bdgs3 ( YCR034W and YMR306W )  and Gas2 (YLR343W)  ) or ( Bdgs1 ( YCR034W and YGR032W )  and Gas4 (YOL132W)  ) or ( Bdgs2 ( YCR034W and YLR342W )  and Gas3 (YMR215W)  ) or ( Bdgs1 ( YCR034W and YGR032W )  and Gas1 (YMR307W)  ) or ( Bdgs2 ( YCR034W and YLR342W )  and Gas1 (YMR307W)  ) or ( Bdgs3 ( YCR034W and YMR306W )  and Gas1 (YMR307W)  )","( ( ( YCR034W  and  YGR032W )  and  YLR343W )  or  ( ( YCR034W  and  YGR032W )  and  YMR215W )  or  ( ( YCR034W  and  YMR306W )  and  YMR215W )  or  ( ( YCR034W  and  YLR342W )  and  YOL132W )  or  ( ( YCR034W  and  YMR306W )  and  YOL132W )  or  ( ( YCR034W  and  YGR032W )  and  YOL030W )  or  ( ( YCR034W  and  YLR342W )  and  YOL030W )  or  ( ( YCR034W  and  YMR306W )  and  YOL030W )  or  ( ( YCR034W  and  YLR342W )  and  YLR343W )  or  ( ( YCR034W  and  YMR306W )  and  YLR343W )  or  ( ( YCR034W  and  YGR032W )  and  YOL132W )  or  ( ( YCR034W  and  YLR342W )  and  YMR215W )  or  ( ( YCR034W  and  YGR032W )  and  YMR307W )  or  ( ( YCR034W  and  YLR342W )  and  YMR307W )  or  ( ( YCR034W  and  YMR306W )  and  YMR307W ) )","( Bdgs1 and Gas2 ) or ( Bdgs1 and Gas3 ) or ( Bdgs3 and Gas3 ) or ( Bdgs2 and Gas4 ) or ( Bdgs3 and Gas4 ) or ( Bdgs1 and Gas5 ) or ( Bdgs2 and Gas5 ) or ( Bdgs3 and Gas5 ) or ( Bdgs2 and Gas2 ) or ( Bdgs3 and Gas2 ) or ( Bdgs1 and Gas4 ) or ( Bdgs2 and Gas3 ) or ( Bdgs1 and Gas1 ) or ( Bdgs2 and Gas1 ) or ( Bdgs3 and Gas1 )"
"16GS","1,6-beta-glucan synthase","[c] : udpg --> 16BDglcn + h + udp","Alternate Carbon Metabolism","","( Kre6 (YPR159W)  ) or ( Skn1 (YGR143W)  )","( YPR159W  or  YGR143W )","( Kre6 ) or ( Skn1 )"
"23CAPPD","ADP-ribose 2,3-cyclic phosphodiesterase","[c] : 23camp + h + h2o --> amp2p","Other","","Cpd1 (YGR247W) ","YGR247W","Cpd1"
"2DDA7Ptm","2-Dehydro-3-deoxy-D-arabino-heptonate7-phohsphate mitochondrial transport via diffusion","2dda7p[c] <==> 2dda7p[m]","Transport, Mitochondrial","","","",""
"2DHPtm","2-Dehydropantoate mitochondrial transport","2dhp[c] <==> 2dhp[m]","Transport, Mitochondrial","","","",""
"2DOXG6PP","2-deoxyglucose-6-phosphatase","[c] : 2doxg6p + h2o --> 2dglc + pi","Other","3.1.3.68","( Dog1 (YHR044C)  ) or ( Dog2 (YHR043C)  )","( YHR044C  or  YHR043C )","( Dog1 ) or ( Dog2 )"
"2HBO","2-Hydroxybutyrate:NAD+ oxidoreductase","[c] : 2hb + nad <==> 2obut + h + nadh","Cysteine Metabolism","1.1.1.27","","",""
"2HBt2","2-hydroxybutyrate cotransport with proton","2hb[e] + h[e] <==> 2hb[c] + h[c]","Cysteine Metabolism","","","",""
