FUNCTIONAL ROLE	GENE ID	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
Chromosomal replication initiator protein DnaA	peg.1	DNA-replication	DNA Metabolism	rxn05294
DNA polymerase III beta subunit (EC 2.7.7.7)	peg.2	DNA-replication	DNA Metabolism	rxn05294
DNA recombination and repair protein RecF	peg.4	"DNA_repair,_bacterial_RecFOR_pathway"	DNA Metabolism	
DNA gyrase subunit B (EC 5.99.1.3)	peg.6	"DNA_topoisomerases,_Type_II,_ATP-dependent|Resistance_to_fluoroquinolones"	DNA Metabolism|Virulence	rxn05294
DNA gyrase subunit A (EC 5.99.1.3)	peg.7	"DNA_topoisomerases,_Type_II,_ATP-dependent|Resistance_to_fluoroquinolones"	DNA Metabolism|Virulence	rxn05294
Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	peg.9	Purine_conversions	Nucleosides and Nucleotides	rxn00834
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	peg.10|peg.1839|peg.1966|peg.2323|peg.2353			
"Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)"	peg.11	Pyridoxin_(Vitamin_B6)_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
"Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)"	peg.12	Pyridoxin_(Vitamin_B6)_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Seryl-tRNA synthetase (EC 6.1.1.11)	peg.13	Glycine_and_Serine_Utilization|Selenocysteine_metabolism|tRNA_aminoacylation	Amino Acids and Derivatives|Protein Metabolism	rxn05296
Deoxyadenosine kinase (EC 2.7.1.76)	peg.14|peg.15	Purine_conversions	Nucleosides and Nucleotides	rxn01444|rxn01508
Deoxyguanosine kinase (EC 2.7.1.113)	peg.14|peg.15	PnuC-like_transporters|Purine_conversions	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Nucleosides and Nucleotides"	rxn01444|rxn01508
