SUBSYSTEM ID	GENE ID	FUNCTIONAL ROLES	CLASS 1	CLASS 2	REACTIONS	
DNA-replication	peg.1|peg.2|peg.19|peg.21|peg.31|peg.55|peg.1573|peg.1589|peg.1661|peg.1697|peg.1926|peg.2206|peg.2428|peg.2525|peg.2559|peg.2628|peg.2750|peg.2765|peg.2776|peg.2777|peg.2901|peg.2912|peg.2926|peg.4050	Chromosomal replication initiator protein DnaA|DNA polymerase III beta subunit (EC 2.7.7.7)|DNA polymerase III subunits gamma and Tau (EC 2.7.7.7)|Recombination protein RecR|DNA polymerase III delta prime subunit (EC 2.7.7.7)|Transcription-repair coupling factor|Helicase PriA essential for oriC/DnaA-independent DNA replication|ATP-dependent DNA helicase RecG (EC 3.6.1.-)|DNA polymerase III alpha subunit (EC 2.7.7.7)|RecA protein|ATP-dependent DNA helicase RecQ|DNA polymerase I (EC 2.7.7.7)|DNA repair protein RecN|DNA primase (EC 2.7.7.-)|DNA polymerase III delta subunit (EC 2.7.7.7)|DNA replication protein dnaC|Exodeoxyribonuclease V alpha chain (EC 3.1.11.5)|Single-stranded-DNA-specific exonuclease recJ (EC 3.1.-.-)|Holliday junction DNA helicase RuvB|Holliday junction DNA helicase RuvA|Helicase loader DnaI|Replicative DNA helicase (EC 3.6.1.-) [SA14-24]	DNA Metabolism	DNA replication	rxn05294	
"DNA_repair,_bacterial_RecFOR_pathway"	peg.4|peg.21|peg.1697|peg.1926|peg.2040|peg.2306|peg.2531|peg.2765|peg.3638|peg.4096	"DNA recombination and repair protein RecF|Recombination protein RecR|RecA protein|ATP-dependent DNA helicase RecQ|Single-stranded-DNA-specific exonuclease recJ, Bacteriophage SPBc2-type|ATP-dependent DNA helicase, RecQ family|DNA recombination and repair protein RecO|Single-stranded-DNA-specific exonuclease recJ (EC 3.1.-.-)|Single-stranded DNA-binding protein"	DNA Metabolism	DNA repair	rxn05294	
"DNA_topoisomerases,_Type_II,_ATP-dependent"	peg.6|peg.7|peg.1812|peg.1813	DNA gyrase subunit B (EC 5.99.1.3)|DNA gyrase subunit A (EC 5.99.1.3)|Topoisomerase IV subunit B (EC 5.99.1.-)|Topoisomerase IV subunit A (EC 5.99.1.-)	DNA Metabolism	DNA replication	rxn05294	
Resistance_to_fluoroquinolones	peg.6|peg.7|peg.1812|peg.1813	DNA gyrase subunit B (EC 5.99.1.3)|DNA gyrase subunit A (EC 5.99.1.3)|Topoisomerase IV subunit B (EC 5.99.1.-)|Topoisomerase IV subunit A (EC 5.99.1.-)	Virulence	Resistance to antibiotics and toxic compounds	rxn05294	
Purine_conversions	peg.9|peg.14|peg.15|peg.68|peg.137|peg.578|peg.636|peg.645|peg.657|peg.784|peg.1319|peg.1570|peg.1967|peg.2212|peg.2277|peg.2354|peg.2764|peg.3219|peg.3243|peg.3766|peg.4048	"Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)|Deoxyadenosine kinase (EC 2.7.1.76)|Deoxyguanosine kinase (EC 2.7.1.113)|Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)|Adenylate kinase (EC 2.7.4.3)|Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)|GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)|Adenylosuccinate lyase (EC 4.3.2.2)|Adenine deaminase (EC 3.5.4.2)|2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)|5'-nucleotidase (EC 3.1.3.5)|Guanine deaminase (EC 3.5.4.3)|Guanylate kinase (EC 2.7.4.8)|Purine nucleoside phosphorylase (EC 2.4.2.1)|Xanthine phosphoribosyltransferase (EC 2.4.2.-)|Nucleoside diphosphate kinase (EC 2.7.4.6)|Adenine phosphoribosyltransferase (EC 2.4.2.7)|GMP reductase (EC 1.7.1.7)|Adenylosuccinate synthetase (EC 6.3.4.4)"	Nucleosides and Nucleotides	Purines	rxn01367|rxn00708|rxn01985|rxn02522|rxn01444|rxn00515|rxn00917|rxn01218|rxn03483|rxn00800|rxn00212|rxn01446|rxn01647|rxn01358|rxn01678|rxn01704|rxn00834|rxn00926|rxn09562|rxn00837|rxn02762|rxn01649|rxn00117|rxn00097|rxn00915|rxn00839|rxn00139|rxn01508|rxn09348|rxn01139|rxn09355|rxn01684|rxn00838|rxn01859|rxn01445|rxn00409|rxn01512|rxn01646|rxn01549|rxn09340|rxn01225|rxn00913|rxn01673|rxn01352|rxn01127|rxn01145|rxn01509|rxn01138|rxn01507|rxn09341|rxn00239|rxn03136|rxn01353|rxn02521|rxn00836|rxn01544|rxn00132|rxn02400|rxn01799|rxn00237|rxn01670|rxn01961|rxn00363|rxn00831|rxn01548	
Pyridoxin_(Vitamin_B6)_Biosynthesis	peg.11|peg.12|peg.1002|peg.2311|peg.2431|peg.3400	"Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)|Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)|Phosphoserine aminotransferase (EC 2.6.1.52)|D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)|1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)|NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Pyridoxine	rxn00781|rxn03909|rxn01101|rxn02914|rxn03445	
Glycine_and_Serine_Utilization	peg.13|peg.562|peg.1002|peg.1587|peg.1588|peg.1703|peg.2311|peg.2382|peg.2459|peg.2460|peg.2461|peg.2712|peg.2728|peg.2729|peg.3285|peg.3697|peg.4010	"Seryl-tRNA synthetase (EC 6.1.1.11)|D-serine/D-alanine/glycine transporter|Phosphoserine aminotransferase (EC 2.6.1.52)|L-serine dehydratase, beta subunit (EC 4.3.1.17)|L-serine dehydratase, alpha subunit (EC 4.3.1.17)|2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)|D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)|D-serine dehydratase (EC 4.3.1.18)|Glycine dehydrogenase [decarboxylating] (glycine cleavage system P2 protein) (EC 1.4.4.2)|Glycine dehydrogenase [decarboxylating] (glycine cleavage system P1 protein) (EC 1.4.4.2)|Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)|Cystathionine gamma-lyase (EC 4.4.1.1)|Cystathionine beta-synthase (EC 4.2.1.22)|Glycine cleavage system H protein|Serine hydroxymethyltransferase (EC 2.1.2.1)|Glycerate kinase (EC 2.7.1.31)"	Amino Acids and Derivatives	"Alanine, serine, and glycine"	rxn01101|rxn00742|rxn02914|rxn05296|rxn00692|rxn05649|rxn05495|rxn03445|rxn00166|rxn00953|rxn00165|rxn00274|rxn05582|rxn01102|rxn00908|rxn05494	
Selenocysteine_metabolism	peg.13	Seryl-tRNA synthetase (EC 6.1.1.11)	Protein Metabolism	Selenoproteins	rxn05296	
tRNA_aminoacylation	peg.13|peg.38|peg.82|peg.92|peg.94|peg.1143|peg.1545|peg.1660|peg.2240|peg.2529|peg.2530|peg.2743|peg.2758|peg.2759|peg.2812|peg.2866|peg.2867|peg.2898|peg.2970|peg.3035|peg.3740|peg.3762|peg.3851	Seryl-tRNA synthetase (EC 6.1.1.11)|Methionyl-tRNA synthetase (EC 6.1.1.10)|Lysyl-tRNA synthetase (class II) (EC 6.1.1.6)|Glutamyl-tRNA synthetase (EC 6.1.1.17)|Cysteinyl-tRNA synthetase (EC 6.1.1.16)|Tryptophanyl-tRNA synthetase (EC 6.1.1.2)|Isoleucyl-tRNA synthetase (EC 6.1.1.5)|Prolyl-tRNA synthetase (EC 6.1.1.15)|Asparaginyl-tRNA synthetase (EC 6.1.1.22)|Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)|Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)|Alanyl-tRNA synthetase (EC 6.1.1.7)|Aspartyl-tRNA synthetase (EC 6.1.1.12)|Histidyl-tRNA synthetase (EC 6.1.1.21)|Valyl-tRNA synthetase (EC 6.1.1.9)|Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)|Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)|Threonyl-tRNA synthetase (EC 6.1.1.3)|Tyrosyl-tRNA synthetase (EC 6.1.1.1)|Leucyl-tRNA synthetase (EC 6.1.1.4)|Arginyl-tRNA synthetase (EC 6.1.1.19)	Protein Metabolism	Protein biosynthesis	rxn05296	
PnuC-like_transporters	peg.14|peg.15|peg.1582	Deoxyguanosine kinase (EC 2.7.1.113)|Thiamin pyrophosphokinase (EC 2.7.6.2)	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	NAD and NADP	rxn01444|rxn01508|rxn00440	
NAD_and_NADP_cofactor_biosynthesis_global	peg.17|peg.296|peg.314|peg.663|peg.965|peg.1162|peg.2366|peg.2565|peg.2566|peg.2567|peg.2788|peg.2789|peg.2790|peg.3178|peg.3179|peg.3656|peg.4029	"Nicotinamidase (EC 3.5.1.19)|Niacin transporter NiaP|NAD synthetase (EC 6.3.1.5)|DNA ligase (EC 6.5.1.2)|NAD-dependent protein deacetylase of SIR2 family|NAD kinase (EC 2.7.1.23)|ADP-ribose pyrophosphatase (EC 3.6.1.13)|FIGfam135315: Iojap-related protein|Hydrolase (HAD superfamily), YqeK|Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)|Quinolinate synthetase (EC 4.1.99.-)|Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)|L-aspartate oxidase (EC 1.4.3.16)|Nicotinate phosphoribosyltransferase (EC 2.4.2.11)|Nicotinamidase/isochorismatase family protein|LSU m3Psi1915 methyltransferase RlmH"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	NAD and NADP	rxn00775|rxn02988|rxn10057|rxn10060|rxn00105|rxn02155|rxn00938|rxn01265|rxn10056|rxn10058|rxn10059|rxn02402|rxn00138|rxn00338|rxn05294|rxn00077	
NAD_regulation	peg.17|peg.296|peg.314|peg.2567|peg.2788|peg.2789|peg.2790|peg.2792|peg.3178|peg.3179	Nicotinamidase (EC 3.5.1.19)|Niacin transporter NiaP|NAD synthetase (EC 6.3.1.5)|Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)|Quinolinate synthetase (EC 4.1.99.-)|Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)|L-aspartate oxidase (EC 1.4.3.16)|Transcriptional repressor for NAD biosynthesis in gram-positives|Nicotinate phosphoribosyltransferase (EC 2.4.2.11)	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	NAD and NADP	rxn02988|rxn00105|rxn02155|rxn00938|rxn01265|rxn02402|rxn00138|rxn00338	
Redox-dependent_regulation_of_nucleus_processes	peg.17|peg.965|peg.2905|peg.3178|peg.3179|peg.3400	Nicotinamidase (EC 3.5.1.19)|NAD-dependent protein deacetylase of SIR2 family|NADPH-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13)|Nicotinate phosphoribosyltransferase (EC 2.4.2.11)|NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	Stress Response	Oxidative stress	rxn00781|rxn00938|rxn01265|rxn00782	
tRNA_modification_Bacteria	peg.18|peg.34|peg.67|peg.81|peg.148|peg.267|peg.893|peg.1374|peg.1375|peg.1376|peg.1377|peg.1539|peg.1605|peg.1615|peg.1669|peg.1704|peg.1737|peg.2282|peg.2430|peg.2522|peg.2533|peg.2565|peg.2740|peg.2752|peg.2754|peg.2774|peg.2775|peg.2961|peg.2962|peg.2993|peg.3272|peg.3273|peg.3274|peg.3275|peg.3276|peg.3702|peg.3841|peg.4029|peg.4107|peg.4108|peg.4109	"tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)|COG4123: Predicted O-methyltransferase|tRNA(Ile)-lysidine synthetase|tRNA dihydrouridine synthase B (EC 1.-.-.-)|tRNA pseudouridine synthase A (EC 4.2.1.70)|Cysteine desulfurase (EC 2.8.1.7)|tRNA (cytosine34-2'-O-)-methyltransferase (EC 2.1.1.-)|Queuosine Biosynthesis QueC ATPase|Queuosine biosynthesis QueD, PTPS-I|Queuosine Biosynthesis QueE Radical SAM|NADPH dependent preQ0 reductase|COG1496: Uncharacterized conserved protein|tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)|tRNA:m(5)U-54 MTase gid|tRNA pseudouridine synthase B (EC 4.2.1.70)|tRNA-i(6)A37 methylthiotransferase|tRNA delta(2)-isopentenylpyrophosphate transferase (EC 2.5.1.8)|GTP cyclohydrolase I (EC 3.5.4.16) type 1|RNA binding methyltransferase FtsJ like|Putative tRNA-m1A22 methylase|Cytidine deaminase (EC 3.5.4.5)|FIGfam135315: Iojap-related protein|COG1559 protein YceG like|tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61)|tRNA-guanine transglycosylase (EC 2.4.2.29)|S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)|Thiamine biosynthesis protein thiI|tRNA (guanine46-N7-)-methyltransferase (EC 2.1.1.33)|Iron-sulfur cluster assembly protein SufB|Iron-sulfur cluster assembly scaffold protein IscU|Iron-sulfur cluster assembly protein SufD|Iron-sulfur cluster assembly ATPase protein SufC|Sua5 YciO YrdC YwlC family protein|LSU m5C1962 methyltransferase RlmI|LSU m3Psi1915 methyltransferase RlmH|tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA|GTPase and tRNA-U34 5-formylation enzyme TrmE|Jag protein"	RNA Metabolism	RNA processing and modification	rxn01800|rxn05296|rxn00299|rxn05295	
tRNA_processing	peg.18|peg.67|peg.148|peg.790|peg.1704|peg.1737|peg.2389|peg.2840|peg.4111	tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)|tRNA(Ile)-lysidine synthetase|tRNA pseudouridine synthase A (EC 4.2.1.70)|Ribonuclease BN (EC 3.1.-.-)|tRNA-i(6)A37 methylthiotransferase|tRNA delta(2)-isopentenylpyrophosphate transferase (EC 2.5.1.8)|Ribonuclease Z (EC 3.1.26.11)|Ribonuclease PH (EC 2.7.7.56)|Ribonuclease P protein component (EC 3.1.26.5)	RNA Metabolism	RNA processing and modification	rxn05296|rxn05295	
Arginine_and_Ornithine_Degradation	peg.27|peg.322|peg.1126|peg.1465|peg.2429|peg.2937|peg.3340|peg.3755|peg.3782|peg.3784|peg.4038|peg.4039|peg.4040|peg.4041	"Arginine decarboxylase (EC 4.1.1.19)|Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.5.1.12)|Ornithine carbamoyltransferase (EC 2.1.3.3)|Arginine pathway regulatory protein ArgR, repressor of arg regulon|Histidine ABC transporter, ATP-binding protein HisP (TC 3.A.1.3.1)|Arginine/ornithine antiporter ArcD|Agmatinase (EC 3.5.3.11)|Arginine permease RocE|Arginase (EC 3.5.3.1)|Ornithine aminotransferase (EC 2.6.1.13)|Arginine utilization regulatory protein RocR"	Amino Acids and Derivatives	Arginine	" urea cycle, polyamines"	rxn00322|rxn00503|rxn00405|rxn03071|rxn03424|rxn00467|rxn05164|rxn00183|rxn00394|rxn05303|rxn05628|rxn01019|rxn00858
Polyamine_Metabolism	peg.27|peg.1465|peg.2730|peg.2904|peg.3340|peg.3755|peg.3756	"Arginine decarboxylase (EC 4.1.1.19)|5'-methylthioadenosine nucleosidase (EC 3.2.2.16)|S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1B|Arginine/ornithine antiporter ArcD|Agmatinase (EC 3.5.3.11)|Spermidine synthase (EC 2.5.1.16)"	Amino Acids and Derivatives	Arginine	" urea cycle, polyamines"	rxn00322|rxn00405|rxn01406|rxn00143|rxn00127|rxn01021|rxn05303|rxn05628|rxn02061|rxn00858
Lysine_degradation	peg.27|peg.1973	"Lysine decarboxylase (EC 4.1.1.18)|Lysine 2,3-aminomutase (EC 5.4.3.2)"	Amino Acids and Derivatives	"Lysine, threonine, methionine, and cysteine"	rxn00321|rxn00322|rxn00405	
pyrimidine_conversions	peg.28|peg.328|peg.784|peg.1549|peg.1772|peg.1967|peg.2188|peg.2277|peg.2293|peg.2354|peg.2533|peg.2736|peg.3217|peg.3243|peg.3485|peg.3713|peg.3722|peg.3945	"Thymidylate kinase (EC 2.7.4.9)|Thioredoxin reductase (EC 1.8.1.9)|2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)|5'-nucleotidase (EC 3.1.3.5)|Uracil phosphoribosyltransferase (EC 2.4.2.9)|Thymidylate synthase (EC 2.1.1.45)|Purine nucleoside phosphorylase (EC 2.4.2.1)|Nucleoside diphosphate kinase (EC 2.7.4.6)|Cytidylate kinase (EC 2.7.4.14)|Cytidine deaminase (EC 3.5.4.5)|Uridine kinase (EC 2.7.1.48) [C1]|Thymidine kinase (EC 2.7.1.21)|CTP synthase (EC 6.3.4.2)|Pyrimidine-nucleoside phosphorylase (EC 2.4.2.2)"	Nucleosides and Nucleotides	Pyrimidines	rxn01674|rxn01367|rxn00708|rxn01513|rxn01985|rxn02522|rxn00364|rxn00515|rxn00369|rxn01218|rxn01370|rxn03483|rxn01520|rxn01800|rxn01706|rxn00212|rxn01446|rxn00715|rxn01647|rxn01358|rxn01678|rxn01704|rxn01518|rxn02762|rxn01649|rxn00117|rxn00712|rxn01128|rxn00839|rxn09348|rxn01139|rxn09355|rxn01679|rxn01648|rxn01684|rxn01129|rxn01859|rxn01445|rxn00409|rxn01366|rxn01512|rxn01646|rxn01143|rxn01549|rxn09340|rxn01516|rxn00709|rxn00913|rxn01673|rxn05289|rxn00368|rxn01219|rxn01145|rxn00410|rxn00365|rxn01138|rxn01507|rxn09341|rxn00711|rxn01705|rxn00412|rxn01515|rxn01353|rxn02521|rxn00713|rxn00132|rxn00707|rxn02400|rxn01799|rxn00237|rxn01670|rxn01510|rxn01961|rxn01517|rxn00363|rxn00831|rxn01548	
rRNA_modification_Bacteria	peg.34|peg.42|peg.96|peg.106|peg.921|peg.1163|peg.1503|peg.1548|peg.1576|peg.1577|peg.1615|peg.2320|peg.2430|peg.2547|peg.3006|peg.3007|peg.3906|peg.4029|peg.4106	"COG4123: Predicted O-methyltransferase|Dimethyladenosine transferase (EC 2.1.1.-)|TrmH family tRNA/rRNA methyltransferase YacO (EC 2.1.1.-)|Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.52)|Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YhcT type|Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type|Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.-)|Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)|Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-)|Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)|tRNA:m(5)U-54 MTase gid|Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.-)|RNA binding methyltransferase FtsJ like|Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)|Ribosomal small subunit pseudouridine synthase A (EC 4.2.1.70)|Ribosomal RNA large subunit methyltransferase A (EC 2.1.1.51)|LSU m3Psi1915 methyltransferase RlmH|Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-)"	RNA Metabolism	RNA processing and modification		
Poly-gamma-glutamate_biosynthesis	peg.37|peg.1450|peg.1845|peg.2683|peg.2842|peg.3593|peg.3594|peg.3595|peg.3596|peg.3597|peg.3617	"Transition state regulatory protein AbrB|Putative transition state regulator Abh|Gamma-glutamyltranspeptidase (EC 2.3.2.2)|Glutamate racemase (EC 5.1.1.3)|Gamma-DL-glutamyl hydrolase PgsS (EC 3.4.19.-), catalyzes PGA release|Poly-gamma-glutamate synthase subunit PgsE/CapE (EC 6.3.2.-)|Poly-gamma-glutamate synthase subunit PgsA/CapA (EC 6.3.2.-)|Poly-gamma-glutamate synthase subunit PgsC/CapC (EC 6.3.2.-)|Poly-gamma-glutamate synthase subunit PgsB/CapB (EC 6.3.2.-)"	Amino Acids and Derivatives	"Glutamine, glutamate, aspartate, asparagine"	 ammonia assimilation	rxn00193|rxn00350|rxn02791|rxn02727|rxn02792
Ribosome_biogenesis_bacterial	peg.41|peg.42|peg.421|peg.592|peg.593|peg.921|peg.1163|peg.1190|peg.1548|peg.1604|peg.1605|peg.2548|peg.3841|peg.4029	"Ribonuclease M5 (EC 3.1.26.8)|Dimethyladenosine transferase (EC 2.1.1.-)|Ribosomal-protein-L7p-serine acetyltransferase|Inactive homolog of metal-dependent proteases, putative molecular chaperone|Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)|Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YhcT type|Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YjbO type|Ribosomal-protein-S5p-alanine acetyltransferase|Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)|16S rRNA processing protein RimM|tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)|Ribosomal protein L11 methyltransferase (EC 2.1.1.-)|LSU m5C1962 methyltransferase RlmI|LSU m3Psi1915 methyltransferase RlmH"	Protein Metabolism	Protein biosynthesis	rxn05295	
Isoprenoid_Biosynthesis	peg.46|peg.90|peg.91|peg.1035|peg.1656|peg.1658|peg.1717|peg.2291|peg.2431|peg.2432|peg.2511|peg.2520|peg.3288	"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)|2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)|2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)|Acetyl-CoA acetyltransferase (EC 2.3.1.9)|Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)|1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)|Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)|Isopentenyl-diphosphate delta-isomerase, FMN-dependent (EC 5.3.3.2)|1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)|Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10)|1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.4.3)|4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Isoprenoids	rxn03910|rxn00830|rxn03909|rxn03248|rxn06510|rxn00676|rxn01454|rxn03908|rxn01466|rxn02804|rxn04308|rxn00874|rxn03243|rxn04113|rxn04996|rxn01213|rxn06991|rxn00178|rxn03958|rxn03907|rxn02680	
Nonmevalonate_Branch_of_Isoprenoid_Biosynthesis	peg.46|peg.90|peg.91|peg.1658|peg.2431|peg.2511|peg.2520	"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)|2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)|2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)|1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)|1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)|1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.4.3)|4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Isoprenoids	rxn03910|rxn03909|rxn03908|rxn04113|rxn04996|rxn06991|rxn03958|rxn03907	
polyprenyl_synthesis	peg.46|peg.90|peg.91|peg.1658|peg.2520	"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)|2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)|2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)|1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)|4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)"	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	Isoprenoids	rxn03910|rxn03908|rxn04113|rxn04996|rxn03958|rxn03907	
