GENE ID	GENE ALIASES	START	END	FUNCTIONAL ROLES	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
peg.1	"dnaA,Bsu0001,NP_387882.1,gi|16077069,GeneID:939978"	410	410	Chromosomal replication initiator protein DnaA	DNA-replication	DNA Metabolism	rxn05294
peg.2	"dnaN,Bsu0002,NP_387883.1,gi|16077070,GeneID:939970"	1939	1939	DNA polymerase III beta subunit (EC 2.7.7.7)	DNA-replication	DNA Metabolism	rxn05294
peg.3	"yaaA,Bsu0003,NP_387884.1,gi|16077071,GeneID:939444"	3206	3206				
peg.4	"recF,Bsu0004,NP_387885.1,gi|16077072,GeneID:939454"	3437	3437	DNA recombination and repair protein RecF	"DNA_repair,_bacterial_RecFOR_pathway"	DNA Metabolism	
peg.5	"yaaB,Bsu0005,NP_387886.1,gi|16077073,GeneID:939466"	4567	4567				
peg.6	"gyrB,Bsu0006,NP_387887.1,gi|16077074,GeneID:939456"	4866	4866	DNA gyrase subunit B (EC 5.99.1.3)	"DNA_topoisomerases,_Type_II,_ATP-dependent|Resistance_to_fluoroquinolones"	DNA Metabolism|Virulence	rxn05294
peg.7	"gyrA,Bsu0007,NP_387888.1,gi|16077075,GeneID:940002"	6993	6993	DNA gyrase subunit A (EC 5.99.1.3)	"DNA_topoisomerases,_Type_II,_ATP-dependent|Resistance_to_fluoroquinolones"	DNA Metabolism|Virulence	rxn05294
peg.8	"yaaC,Bsu0008,NP_387889.1,gi|16077076,GeneID:939969"	14845	14845				
peg.9	"guaB,Bsu0009,NP_387890.1,gi|16077077,GeneID:938032"	15913	15913	Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	Purine_conversions	Nucleosides and Nucleotides	rxn00834
peg.10	"dacA,Bsu0010,NP_387891.1,gi|16077078,GeneID:940000"	17532	17532	D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)			
peg.11	"yaaD,Bsu0011,NP_387892.1,gi|16077079,GeneID:939988"	19060	19060	"Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)"	Pyridoxin_(Vitamin_B6)_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
peg.12	"yaaE,Bsu0012,NP_387893.1,gi|16077080,GeneID:939971"	19966	19966	"Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)"	Pyridoxin_(Vitamin_B6)_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
peg.13	"serS,Bsu0013,NP_387894.1,gi|16077081,GeneID:939994"	20878	20878	Seryl-tRNA synthetase (EC 6.1.1.11)	Glycine_and_Serine_Utilization|Selenocysteine_metabolism|tRNA_aminoacylation	Amino Acids and Derivatives|Protein Metabolism	rxn05296
peg.14	"yaaF,Bsu0014,NP_387895.1,gi|16077082,GeneID:936793"	22494	22494	Deoxyadenosine kinase (EC 2.7.1.76)|Deoxyguanosine kinase (EC 2.7.1.113)	Purine_conversions|PnuC-like_transporters	"Nucleosides and Nucleotides|Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn01444|rxn01508
